16;256;0.0001576
16;1024;0.00011122
16;4096;0.00010697
16;16384;0.00072454
16;65536;0.0017767
16;262144;0.00233787
16;1048576;0.00265651
16;4194304;0.00200269
16;16777216;0.00270512
16;67108864;0.00551391
16;268435456;0.00196403
16;1073741824;0.00172266
16;4294967296;0.00205019
16;17179869184;0.00239413
16;68719476736;0.00175258
16;274877906944;0.00200621
16;1099511627776;0.00165499
16;4398046511104;0.00224533
16;17592186044416;0.00268738
16;70368744177664;0.00332304
16;281474976710656;0.00037241
